id,from_stop,to_stop,distance_km,mean_travel_time,std_travel_time,p50_time,p90_time,p95_time,traffic_condition,lognormal_mu,lognormal_sigma
S008_S063,S008,S063,2.731,5.56,1.93,5.25,8.1,9.15,normal,1.6588,0.3375
S063_S008,S063,S008,2.731,5.79,1.82,5.52,8.18,9.14,normal,1.7088,0.3063
S008_S064,S008,S064,8.341,13.22,3.3,12.82,17.58,19.23,light,2.5513,0.2462
S064_S008,S064,S008,8.341,12.24,3.45,11.79,16.79,18.56,light,2.4669,0.2761
S008_S066,S008,S066,10.722,22.81,5.79,22.1,30.45,33.34,heavy,3.0958,0.2499
S066_S008,S066,S008,10.722,23.19,5.81,22.5,30.87,33.76,heavy,3.1135,0.2466
S008_S067,S008,S067,12.42,35.22,9.6,33.98,47.9,52.79,heavy,3.5259,0.2677
S067_S008,S067,S008,12.42,34.62,9.83,33.3,47.58,52.64,heavy,3.5057,0.2783
S008_S068,S008,S068,1.669,3.48,0.94,3.36,4.72,5.19,heavy,1.2123,0.2641
S068_S008,S068,S008,1.669,3.6,0.9,3.49,4.78,5.23,heavy,1.2498,0.2459
S008_S069,S008,S069,11.039,17.29,3.87,16.87,22.39,24.26,normal,2.8255,0.2209
S069_S008,S069,S008,11.039,16.21,3.8,15.78,21.23,23.09,normal,2.7586,0.2315
S008_S071,S008,S071,11.061,23.57,7.77,22.39,33.8,37.98,normal,3.1085,0.3213
S071_S008,S071,S008,11.061,24.06,7.92,22.85,34.48,38.74,normal,3.1291,0.3209
S008_S072,S008,S072,7.312,16.06,4.52,15.46,22.02,24.34,normal,2.7385,0.2758
S072_S008,S072,S008,7.312,16.63,4.59,16.03,22.69,25.04,normal,2.7746,0.271
S008_S073,S008,S073,4.52,14.41,3.97,13.89,19.65,21.68,heavy,2.6311,0.2708
S073_S008,S073,S008,4.52,13.6,4.12,13.01,19.02,21.18,heavy,2.5659,0.2962
S008_S074,S008,S074,13.151,47.07,15.99,44.57,68.07,76.75,heavy,3.797,0.3304
S074_S008,S074,S008,13.151,44.74,15.8,42.19,65.47,74.14,heavy,3.7421,0.3428
S009_S010,S009,S010,8.229,16.26,3.78,15.83,21.25,23.1,normal,2.7621,0.2295
S010_S009,S010,S009,8.229,16.02,3.99,15.55,21.29,23.27,normal,2.7439,0.2452
S009_S013,S009,S013,14.186,21.06,6.84,20.03,30.06,33.72,normal,2.9974,0.3165
S013_S009,S013,S009,14.186,21.83,7.12,20.75,31.19,35.01,normal,3.0327,0.3179
S009_S014,S009,S014,6.269,15.69,4.11,15.17,21.12,23.19,heavy,2.7195,0.2578
S014_S009,S014,S009,6.269,15.75,3.96,15.27,20.98,22.95,heavy,2.7262,0.2475
S009_S015,S009,S015,11.627,27.4,9.11,26.0,39.37,44.29,normal,3.258,0.3238
S015_S009,S015,S009,11.627,27.6,9.43,26.12,39.98,45.11,normal,3.2626,0.3322
S009_S018,S009,S018,13.898,21.19,6.06,20.37,29.19,32.32,normal,3.0142,0.2805
S018_S009,S018,S009,13.898,20.39,6.04,19.55,28.36,31.51,normal,2.973,0.2902
S009_S019,S009,S019,4.101,5.98,1.23,5.86,7.61,8.19,normal,1.7677,0.2037
S019_S009,S019,S009,4.101,5.72,1.35,5.56,7.5,8.16,normal,1.7164,0.2325
S009_S020,S009,S020,7.155,15.36,3.19,15.04,19.57,21.09,normal,2.7105,0.2056
S020_S009,S020,S009,7.155,15.83,3.18,15.51,20.03,21.53,normal,2.7418,0.1992
S009_S023,S009,S023,15.029,28.54,7.48,27.61,38.42,42.19,normal,3.3181,0.2578
S023_S009,S023,S009,15.029,27.51,6.91,26.67,36.63,40.08,normal,3.2837,0.2475
S009_S024,S009,S024,2.764,6.3,1.42,6.15,8.18,8.87,heavy,1.8157,0.2231
S024_S009,S024,S009,2.764,6.62,1.55,6.45,8.67,9.43,heavy,1.8636,0.2314
S009_S025,S009,S025,3.335,5.25,1.09,5.14,6.7,7.22,normal,1.6375,0.2059
S025_S009,S025,S009,3.335,5.64,1.0,5.55,6.96,7.42,normal,1.7135,0.1763
S009_S028,S009,S028,12.77,18.93,5.32,18.22,25.95,28.69,normal,2.9026,0.2759
S028_S009,S028,S009,12.77,18.86,5.01,18.23,25.47,28.0,normal,2.9032,0.2608
S009_S029,S009,S029,4.571,8.37,2.82,7.93,12.07,13.6,normal,2.0709,0.3276
S029_S009,S029,S009,4.571,7.88,2.88,7.4,11.66,13.26,normal,2.0021,0.3542
S009_S030,S009,S030,6.214,11.05,2.19,10.84,13.95,14.98,normal,2.3832,0.1966
S030_S009,S030,S009,6.214,11.29,2.0,11.12,13.93,14.84,normal,2.4089,0.1755
S009_S033,S009,S033,10.241,27.41,8.04,26.3,38.01,42.19,heavy,3.2695,0.2874
S033_S009,S033,S009,10.241,28.2,7.46,27.26,38.06,41.82,heavy,3.3056,0.2601
S009_S034,S009,S034,7.899,11.48,3.97,10.85,16.69,18.85,normal,2.384,0.3359
S034_S009,S034,S009,7.899,11.31,4.31,10.56,16.94,19.37,normal,2.3575,0.3685
S009_S035,S009,S035,13.763,28.18,6.92,27.36,37.31,40.74,heavy,3.3092,0.2419
S035_S009,S035,S009,13.763,29.33,6.62,28.61,38.08,41.29,heavy,3.3537,0.223
S009_S038,S009,S038,10.724,31.35,5.07,30.95,38.03,40.32,heavy,3.4323,0.1608
S038_S009,S038,S009,10.724,32.11,4.8,31.76,38.43,40.56,heavy,3.4582,0.1487
S009_S039,S009,S039,6.322,8.77,2.81,8.35,12.46,13.96,light,2.1223,0.3123
S039_S009,S039,S009,6.322,9.35,2.62,9.0,12.81,14.16,light,2.1972,0.2754
S009_S040,S009,S040,8.712,11.21,2.08,11.02,13.94,14.91,light,2.3997,0.1836
S040_S009,S040,S009,8.712,12.1,2.03,11.93,14.78,15.7,light,2.4792,0.1668
S009_S043,S009,S043,9.272,17.44,5.88,16.52,25.17,28.35,normal,2.8046,0.3283
S043_S009,S043,S009,9.272,18.49,5.3,17.77,25.49,28.23,normal,2.8775,0.2813
S009_S044,S009,S044,2.421,4.35,0.75,4.29,5.34,5.68,normal,1.4566,0.1702
S044_S009,S044,S009,2.421,4.2,0.82,4.13,5.29,5.67,normal,1.4174,0.1931
S009_S045,S009,S045,14.845,36.59,9.1,35.51,48.61,53.14,heavy,3.5697,0.2451
S045_S009,S045,S009,14.845,38.64,9.04,37.63,50.59,55.01,heavy,3.6277,0.2309
S009_S048,S009,S048,8.674,20.13,3.47,19.84,24.71,26.29,normal,2.9875,0.1713
S048_S009,S048,S009,8.674,20.87,3.58,20.57,25.59,27.22,normal,3.024,0.1701
S009_S049,S009,S049,2.062,3.4,0.52,3.36,4.09,4.32,normal,1.2127,0.1519
S049_S009,S049,S009,2.062,3.56,0.53,3.52,4.25,4.49,normal,1.2589,0.1472
S009_S050,S009,S050,10.991,17.75,3.29,17.46,22.09,23.61,normal,2.8597,0.1835
S050_S009,S050,S009,10.991,18.88,3.5,18.57,23.5,25.12,normal,2.9213,0.1839
S009_S053,S009,S053,14.205,26.38,4.42,26.02,32.2,34.2,normal,3.2589,0.1662
S053_S009,S053,S009,14.205,24.68,4.84,24.21,31.06,33.33,normal,3.1869,0.1943
S009_S054,S009,S054,5.427,8.77,2.96,8.31,12.66,14.26,light,2.1178,0.3281
S054_S009,S054,S009,5.427,8.44,2.8,8.01,12.12,13.63,light,2.0804,0.3234
S009_S055,S009,S055,13.244,21.43,7.3,20.29,31.03,35.0,normal,3.01,0.3315
S055_S009,S055,S009,13.244,21.72,7.41,20.55,31.45,35.48,normal,3.023,0.3319
S009_S058,S009,S058,14.169,42.15,9.35,41.14,54.5,59.01,heavy,3.7171,0.2192
S058_S009,S058,S009,14.169,39.19,8.64,38.28,50.6,54.77,heavy,3.6448,0.2178
S009_S059,S009,S059,6.063,12.93,2.99,12.6,16.87,18.33,normal,2.5334,0.2281
S059_S009,S059,S009,6.063,13.32,3.07,12.98,17.38,18.87,normal,2.5636,0.2275
S009_S060,S009,S060,13.75,27.29,6.1,26.63,35.35,38.29,heavy,3.2821,0.2208
S060_S009,S060,S009,13.75,26.06,5.65,25.47,33.53,36.24,heavy,3.2375,0.2144
S009_S063,S009,S063,11.058,26.47,7.93,25.36,36.92,41.07,normal,3.2331,0.2931
S063_S009,S063,S009,11.058,25.94,8.25,24.71,36.79,41.18,normal,3.2074,0.3104
S009_S064,S009,S064,2.501,3.73,1.12,3.57,5.21,5.8,normal,1.2722,0.2949
S064_S009,S064,S009,2.501,3.88,1.16,3.72,5.42,6.03,normal,1.3137,0.2934
S009_S065,S009,S065,5.924,14.15,4.35,13.52,19.88,22.17,heavy,2.6044,0.3006
S065_S009,S065,S009,5.924,14.21,4.23,13.62,19.79,21.99,heavy,2.6116,0.2913
S009_S068,S009,S068,9.309,13.84,2.39,13.64,16.99,18.08,normal,2.6133,0.1712
S068_S009,S068,S009,9.309,14.01,2.22,13.83,16.93,17.92,normal,2.6271,0.1575
S009_S069,S009,S069,3.224,5.76,1.46,5.58,7.69,8.42,light,1.7191,0.2501
S069_S009,S069,S009,3.224,5.92,1.53,5.74,7.94,8.7,light,1.7467,0.2535
S009_S070,S009,S070,8.308,21.18,6.98,20.11,30.36,34.12,heavy,3.0013,0.3213
S070_S009,S070,S009,8.308,22.22,6.92,21.22,31.34,35.0,heavy,3.0549,0.3042
S009_S073,S009,S073,14.362,36.06,8.7,35.05,47.56,51.85,heavy,3.5568,0.238
S073_S009,S073,S009,14.362,36.39,9.0,35.33,48.29,52.75,heavy,3.5647,0.2437
S009_S074,S009,S074,4.565,9.73,1.5,9.61,11.7,12.37,normal,2.263,0.1534
S074_S009,S074,S009,4.565,10.22,1.57,10.1,12.29,12.99,normal,2.3124,0.1532
S009_S075,S009,S075,9.417,16.83,2.68,16.62,20.36,21.56,normal,2.8108,0.1581
S075_S009,S075,S009,9.417,17.37,2.7,17.17,20.93,22.13,normal,2.843,0.1545
S010_S012,S010,S012,8.072,28.18,9.27,26.77,40.36,45.34,heavy,3.2871,0.3204
S012_S010,S012,S010,8.072,26.06,9.1,24.61,38.0,42.98,heavy,3.2031,0.339
S010_S014,S010,S014,11.681,18.75,5.68,17.94,26.24,29.22,normal,2.8872,0.2965
S014_S010,S014,S010,11.681,19.19,5.59,18.42,26.57,29.47,normal,2.9135,0.2856
S010_S015,S010,S015,5.371,10.39,2.35,10.14,13.5,14.65,heavy,2.3162,0.2237
S015_S010,S015,S010,5.371,10.19,2.44,9.91,13.41,14.61,heavy,2.2932,0.2362
S010_S017,S010,S017,8.551,14.56,3.75,14.1,19.52,21.4,normal,2.6462,0.2537
S017_S010,S017,S010,8.551,13.67,4.12,13.09,19.11,21.27,normal,2.5718,0.2951
S010_S019,S010,S019,6.531,13.12,2.3,12.92,16.16,17.21,normal,2.5591,0.1741
S019_S010,S019,S010,6.531,13.83,2.42,13.62,17.02,18.13,normal,2.6114,0.1738
S010_S020,S010,S020,4.676,9.11,2.21,8.85,12.03,13.12,heavy,2.1809,0.2391
S020_S010,S020,S010,4.676,9.16,2.35,8.87,12.27,13.45,heavy,2.1826,0.2529
S010_S022,S010,S022,6.836,15.22,3.34,14.86,19.63,21.23,normal,2.699,0.2167
S022_S010,S022,S010,6.836,14.46,3.59,14.03,19.2,20.98,normal,2.6415,0.2444
S010_S024,S010,S024,10.925,17.57,2.75,17.36,21.19,22.42,normal,2.8541,0.1555
S024_S010,S024,S010,10.925,17.34,2.89,17.11,21.16,22.47,normal,2.8394,0.1658
S010_S025,S010,S025,6.135,9.28,1.42,9.17,11.15,11.78,normal,2.216,0.1522
S025_S010,S025,S010,6.135,8.64,1.45,8.52,10.54,11.2,normal,2.142,0.1665
S010_S027,S010,S027,10.553,27.64,7.86,26.58,38.01,42.06,heavy,3.2802,0.2789
S027_S010,S027,S010,10.553,26.51,7.14,25.6,35.94,39.57,heavy,3.2424,0.2648
S010_S029,S010,S029,11.291,29.71,7.66,28.77,39.84,43.68,heavy,3.3594,0.2538
S029_S010,S029,S010,11.291,28.0,8.42,26.82,39.1,43.51,heavy,3.289,0.2942
S010_S030,S010,S030,2.743,6.17,2.06,5.85,8.87,9.98,normal,1.7666,0.3245
S030_S010,S030,S010,2.743,6.24,2.17,5.9,9.09,10.27,normal,1.7747,0.3373
S010_S032,S010,S032,7.119,11.13,2.2,10.92,14.03,15.07,normal,2.3908,0.1955
S032_S010,S032,S010,7.119,12.0,2.21,11.8,14.91,15.93,normal,2.4682,0.1824
S010_S034,S010,S034,14.215,28.17,5.78,27.6,35.8,38.54,normal,3.3178,0.2029
S034_S010,S034,S010,14.215,30.2,6.22,29.58,38.4,41.35,normal,3.387,0.2037
S010_S035,S010,S035,5.843,11.76,3.24,11.34,16.04,17.69,heavy,2.4285,0.2702
S035_S010,S035,S010,5.843,11.87,2.94,11.52,15.76,17.22,heavy,2.4441,0.2443
S010_S037,S010,S037,9.113,25.55,7.12,24.61,34.95,38.6,heavy,3.2033,0.2735
S037_S010,S037,S010,9.113,26.72,6.86,25.88,35.78,39.22,heavy,3.2535,0.2527
S010_S039,S010,S039,14.476,28.64,5.15,28.19,35.43,37.8,normal,3.3389,0.1784
S039_S010,S039,S010,14.476,27.19,5.19,26.71,34.04,36.46,normal,3.2851,0.1892
S010_S040,S010,S040,0.492,1.1,0.21,1.08,1.38,1.48,normal,0.0767,0.1933
S040_S010,S040,S010,0.492,1.15,0.23,1.13,1.46,1.57,normal,0.1233,0.1994
S010_S042,S010,S042,2.849,5.14,1.77,4.86,7.46,8.42,normal,1.5814,0.334
S042_S010,S042,S010,2.849,5.05,1.68,4.79,7.26,8.16,normal,1.5667,0.324
S010_S044,S010,S044,9.853,27.9,4.63,27.53,34.0,36.09,heavy,3.3151,0.1647
S044_S010,S044,S010,9.853,29.45,4.25,29.15,35.04,36.91,heavy,3.3724,0.1435
S010_S045,S010,S045,6.658,10.95,2.06,10.76,13.67,14.62,normal,2.3758,0.1865
S045_S010,S045,S010,6.658,10.73,2.1,10.53,13.51,14.49,normal,2.3545,0.1941
S010_S047,S010,S047,9.222,24.28,4.0,23.96,29.54,31.35,normal,3.1762,0.1635
S047_S010,S047,S010,9.222,24.2,4.29,23.83,29.85,31.82,normal,3.1708,0.1759
S010_S049,S010,S049,9.419,16.76,5.72,15.86,24.28,27.39,light,2.7639,0.332
S049_S010,S049,S010,9.419,15.99,5.37,15.16,23.04,25.95,light,2.7184,0.3268
S010_S050,S010,S050,8.57,18.85,5.64,18.06,26.29,29.24,heavy,2.8935,0.293
S050_S010,S050,S010,8.57,20.1,5.86,19.29,27.83,30.87,heavy,2.9598,0.2858
S010_S052,S010,S052,13.302,29.87,6.85,29.11,38.91,42.25,heavy,3.3711,0.2264
S052_S010,S052,S010,13.302,30.11,7.23,29.28,39.66,43.22,heavy,3.377,0.2366
S010_S054,S010,S054,11.265,22.82,5.86,22.11,30.56,33.5,normal,3.0959,0.2526
S054_S010,S054,S010,11.265,22.12,5.7,21.43,29.65,32.5,normal,3.0646,0.2533
S010_S055,S010,S055,5.045,10.3,2.51,10.01,13.61,14.85,heavy,2.3038,0.2397
S055_S010,S055,S010,5.045,10.74,2.42,10.47,13.93,15.1,heavy,2.3488,0.2223
S010_S057,S010,S057,6.741,13.19,2.8,12.9,16.89,18.23,light,2.5574,0.2102
S057_S010,S057,S010,6.741,13.32,2.65,13.07,16.82,18.06,light,2.5701,0.1968
S010_S059,S010,S059,13.908,33.49,6.77,32.83,42.42,45.62,normal,3.4912,0.2001
S059_S010,S059,S010,13.908,33.91,6.66,33.28,42.7,45.83,normal,3.5049,0.1945
S010_S060,S010,S060,8.648,27.97,6.04,27.34,35.94,38.84,heavy,3.3082,0.2135
S060_S010,S060,S010,8.648,28.28,5.73,27.72,35.85,38.56,heavy,3.322,0.2007
S010_S062,S010,S062,9.44,17.16,5.81,16.25,24.79,27.94,normal,2.7881,0.3295
S062_S010,S062,S010,9.44,16.49,6.18,15.44,24.58,28.04,normal,2.737,0.3628
S010_S064,S010,S064,5.998,11.76,3.27,11.32,16.07,17.75,heavy,2.427,0.2732
S064_S010,S064,S010,5.998,11.68,3.42,11.21,16.2,17.98,heavy,2.4168,0.2871
S010_S065,S010,S065,6.148,17.15,3.05,16.88,21.17,22.57,heavy,2.8262,0.1766
S065_S010,S065,S010,6.148,16.28,3.29,15.96,20.62,22.17,heavy,2.7699,0.2
S010_S067,S010,S067,10.203,14.64,5.0,13.86,21.21,23.93,normal,2.6288,0.3321
S067_S010,S067,S010,10.203,13.55,5.35,12.61,20.53,23.57,normal,2.5341,0.3804
S010_S069,S010,S069,11.432,22.64,6.42,21.78,31.11,34.42,heavy,3.0809,0.2782
S069_S010,S069,S010,11.432,22.32,6.86,21.33,31.36,34.97,heavy,3.0603,0.3005
S010_S070,S010,S070,4.251,8.14,2.37,7.82,11.27,12.5,light,2.0562,0.2855
S070_S010,S070,S010,4.251,7.77,2.35,7.44,10.87,12.11,light,2.0071,0.2959
S010_S072,S010,S072,10.088,26.08,7.24,25.13,35.63,39.34,normal,3.2241,0.2724
S072_S010,S072,S010,10.088,27.8,7.47,26.85,37.67,41.45,normal,3.2903,0.264
S010_S074,S010,S074,12.67,34.07,8.74,33.0,45.61,49.98,normal,3.4965,0.2524
S074_S010,S074,S010,12.67,31.41,8.79,30.24,43.0,47.51,normal,3.4093,0.2745
S010_S075,S010,S075,5.755,10.67,3.69,10.09,15.52,17.53,light,2.3115,0.3358
S075_S010,S075,S010,5.755,10.68,3.83,10.05,15.71,17.82,light,2.3076,0.3482
S011_S013,S011,S013,14.057,37.2,12.57,35.24,53.71,60.52,heavy,3.5621,0.3288
S013_S011,S013,S011,14.057,34.86,11.56,33.09,50.05,56.28,heavy,3.4991,0.3229
S011_S016,S011,S016,14.562,34.98,6.59,34.37,43.67,46.73,normal,3.5373,0.1867
S016_S011,S016,S011,14.562,33.59,6.4,33.0,42.04,45.02,normal,3.4965,0.1888
S011_S018,S011,S018,14.918,23.62,3.92,23.3,28.78,30.55,normal,3.1485,0.1647
S018_S011,S018,S011,14.918,23.46,3.71,23.18,28.35,30.02,normal,3.1431,0.1573
S011_S021,S011,S021,1.237,1.76,0.37,1.72,2.24,2.42,light,0.5409,0.2077
S021_S011,S021,S011,1.237,1.8,0.39,1.76,2.32,2.51,light,0.5633,0.2171
S011_S023,S011,S023,13.316,21.48,3.62,21.18,26.26,27.9,normal,3.0532,0.1675
S023_S011,S023,S011,13.316,21.06,3.61,20.76,25.81,27.46,normal,3.0329,0.17
S011_S026,S011,S026,13.022,30.37,8.82,29.16,42.0,46.58,heavy,3.3728,0.2847
S026_S011,S026,S011,13.022,30.37,8.71,29.19,41.85,46.35,heavy,3.3738,0.2811
S011_S028,S011,S028,15.505,33.32,8.77,32.23,44.91,49.33,heavy,3.4728,0.2588
S028_S011,S028,S011,15.505,35.43,9.51,34.22,47.98,52.8,heavy,3.5328,0.2636
S011_S031,S011,S031,11.014,24.85,8.21,23.59,35.64,40.05,normal,3.161,0.3217
S031_S011,S031,S011,11.014,26.39,8.17,25.21,37.15,41.46,normal,3.2272,0.3024
S011_S036,S011,S036,0.736,1.93,0.32,1.9,2.34,2.49,normal,0.6421,0.1638
S036_S011,S036,S011,0.736,2.05,0.32,2.02,2.47,2.62,normal,0.7053,0.156
S011_S041,S011,S041,12.855,34.04,11.43,32.27,49.06,55.24,normal,3.4741,0.3268
S041_S011,S041,S011,12.855,31.4,10.76,29.71,45.54,51.39,normal,3.3914,0.3332
S011_S046,S011,S046,14.254,34.37,10.8,32.79,48.59,54.31,normal,3.4901,0.3068
S046_S011,S046,S011,14.254,36.73,10.36,35.35,50.4,55.73,normal,3.5652,0.2768
S011_S051,S011,S051,4.018,9.78,2.58,9.46,13.18,14.48,heavy,2.2469,0.2589
S051_S011,S051,S011,4.018,10.06,2.6,9.74,13.49,14.79,heavy,2.2761,0.254
S011_S052,S011,S052,14.962,30.25,9.01,28.99,42.13,46.83,normal,3.3669,0.2916
S052_S011,S052,S011,14.962,31.33,9.01,30.11,43.23,47.88,normal,3.4049,0.282
S011_S053,S011,S053,14.326,20.72,3.33,20.46,25.1,26.6,normal,3.0183,0.1597
S053_S011,S053,S011,14.326,19.83,3.05,19.6,23.84,25.2,normal,2.9756,0.1528
S011_S056,S011,S056,12.787,22.5,6.14,21.7,30.6,33.72,normal,3.0775,0.2679
S056_S011,S056,S011,12.787,22.13,6.47,21.24,30.66,34.02,normal,3.0557,0.2865
S011_S058,S011,S058,14.09,37.42,7.66,36.66,47.53,51.16,normal,3.6017,0.2026
S058_S011,S058,S011,14.09,37.36,7.44,36.64,47.18,50.67,normal,3.6012,0.1971
S011_S061,S011,S061,1.175,2.33,0.55,2.27,3.06,3.33,heavy,0.8196,0.2332
S061_S011,S061,S011,1.175,2.18,0.56,2.11,2.92,3.21,heavy,0.7457,0.255
S011_S063,S011,S063,17.702,37.77,11.05,36.25,52.35,58.09,heavy,3.5905,0.2866
S063_S011,S063,S011,17.702,36.37,10.79,34.87,50.6,56.22,heavy,3.5516,0.2904
S011_S066,S011,S066,8.089,17.39,3.15,17.11,21.54,22.99,heavy,2.8398,0.1794
S066_S011,S066,S011,8.089,16.88,2.9,16.64,20.7,22.02,heavy,2.8116,0.1704
S011_S071,S011,S071,9.379,25.46,5.39,24.91,32.57,35.14,normal,3.2151,0.2093
S071_S011,S071,S011,9.379,26.52,4.96,26.07,33.07,35.37,normal,3.2608,0.1854
S011_S072,S011,S072,16.596,41.93,9.9,40.81,55.02,59.88,normal,3.709,0.233
S072_S011,S072,S011,16.596,42.3,9.72,41.23,55.15,59.88,normal,3.7191,0.2269
S011_S073,S011,S073,13.902,49.99,11.04,48.82,64.58,69.9,heavy,3.8881,0.2182
S073_S011,S073,S011,13.902,50.77,11.67,49.48,66.17,71.85,heavy,3.9015,0.2268
S012_S013,S012,S013,15.765,24.08,3.67,23.81,28.92,30.55,normal,3.1701,0.1516
S013_S012,S013,S012,15.765,23.65,3.37,23.42,28.08,29.56,normal,3.1534,0.1416
S012_S015,S012,S015,8.597,12.89,4.27,12.23,18.5,20.8,normal,2.5043,0.3225
S015_S012,S015,S012,8.597,13.04,3.98,12.47,18.29,20.38,normal,2.5231,0.2988
S012_S016,S012,S016,13.173,26.69,4.74,26.28,32.95,35.12,normal,3.2687,0.1764
S016_S012,S016,S012,13.173,25.7,4.41,25.33,31.51,33.52,normal,3.232,0.1703
S012_S017,S012,S017,8.795,20.82,4.27,20.4,26.46,28.49,normal,3.0153,0.2031
S017_S012,S017,S012,8.795,20.77,3.91,20.41,25.93,27.75,normal,3.016,0.1867
S012_S020,S012,S020,11.745,26.07,5.2,25.56,32.93,35.37,normal,3.2412,0.1974
S020_S012,S020,S012,11.745,26.05,5.32,25.52,33.07,35.58,normal,3.2396,0.202
S012_S022,S012,S022,1.813,2.97,0.53,2.92,3.66,3.9,light,1.0724,0.1757
S022_S012,S022,S012,1.813,3.18,0.51,3.14,3.85,4.08,light,1.1446,0.1587
S012_S023,S012,S023,17.33,30.22,9.39,28.86,42.6,47.56,normal,3.3625,0.3037
S023_S012,S023,S012,17.33,29.94,9.26,28.6,42.14,47.03,normal,3.3533,0.3024
S012_S025,S012,S025,14.168,22.1,6.19,21.28,30.27,33.44,normal,3.0576,0.2749
S025_S012,S025,S012,14.168,20.81,5.97,20.0,28.69,31.77,normal,2.9959,0.2812
S012_S026,S012,S026,15.084,22.1,4.2,21.71,27.65,29.61,normal,3.078,0.1885
S026_S012,S026,S012,15.084,20.96,4.12,20.57,26.4,28.33,normal,3.0238,0.1946
S012_S027,S012,S027,4.785,13.66,4.06,13.09,19.0,21.12,heavy,2.5719,0.2907
S027_S012,S027,S012,4.785,14.68,4.28,14.09,20.33,22.55,heavy,2.6454,0.2859
S012_S028,S012,S028,14.708,30.95,6.38,30.31,39.36,42.39,normal,3.4114,0.2039
S028_S012,S028,S012,14.708,30.28,6.93,29.52,39.43,42.8,normal,3.3849,0.2259
S012_S030,S012,S030,10.647,33.17,11.59,31.32,48.39,54.74,heavy,3.4442,0.3394
S030_S012,S030,S012,10.647,34.14,11.71,32.29,49.52,55.89,heavy,3.4748,0.3335
S012_S032,S012,S032,1.965,2.87,0.7,2.79,3.79,4.14,normal,1.0265,0.2389
S032_S012,S032,S012,1.965,2.84,0.67,2.77,3.72,4.05,normal,1.0184,0.2314
S012_S035,S012,S035,2.646,5.98,1.88,5.7,8.45,9.44,heavy,1.7411,0.3065
S035_S012,S035,S012,2.646,6.14,1.74,5.91,8.44,9.34,heavy,1.7768,0.2779
S012_S037,S012,S037,5.891,12.6,2.53,12.35,15.93,17.12,normal,2.5138,0.1986
S037_S012,S037,S012,5.891,13.03,2.67,12.76,16.56,17.83,normal,2.5467,0.203
S012_S040,S012,S040,7.624,26.3,9.16,24.84,38.32,43.33,heavy,3.2125,0.3382
S040_S012,S040,S012,7.624,26.65,9.22,25.18,38.75,43.78,heavy,3.2262,0.3362
S012_S041,S012,S041,13.857,20.54,6.65,19.54,29.3,32.86,normal,2.9727,0.3159
S041_S012,S041,S012,13.857,20.69,7.04,19.58,29.94,33.76,normal,2.9747,0.3311
S012_S042,S012,S042,5.66,9.89,3.25,9.39,14.17,15.92,light,2.24,0.3207
S042_S012,S042,S012,5.66,9.27,3.09,8.8,13.33,15.0,light,2.1742,0.3246
S012_S043,S012,S043,15.001,25.5,4.67,25.08,31.67,33.83,normal,3.2222,0.1818
S043_S012,S043,S012,15.001,23.64,5.13,23.11,30.41,32.87,normal,3.1401,0.2143
S012_S045,S012,S045,1.495,2.52,0.58,2.46,3.29,3.57,normal,0.8996,0.227
S045_S012,S045,S012,1.495,2.71,0.57,2.65,3.47,3.74,normal,0.9754,0.2087
S012_S046,S012,S046,14.153,38.23,7.71,37.48,48.42,52.06,normal,3.6238,0.1997
S046_S012,S046,S012,14.153,39.74,7.8,39.0,50.04,53.7,normal,3.6635,0.1945
S012_S047,S012,S047,3.612,6.06,1.18,5.95,7.61,8.17,normal,1.7834,0.1924
S047_S012,S047,S012,3.612,5.96,1.24,5.83,7.59,8.18,normal,1.7631,0.2062
S012_S048,S012,S048,14.89,26.45,6.62,25.66,35.19,38.48,normal,3.2451,0.2463
S048_S012,S048,S012,14.89,28.56,6.59,27.83,37.27,40.49,normal,3.3261,0.2279
S012_S050,S012,S050,13.701,39.77,13.29,37.72,57.23,64.41,heavy,3.6301,0.3253
S050_S012,S050,S012,13.701,37.32,14.46,34.8,56.21,64.38,heavy,3.5497,0.3739
S012_S052,S012,S052,10.355,25.02,5.31,24.47,32.03,34.57,normal,3.1976,0.21
S052_S012,S052,S012,10.355,26.16,5.34,25.63,33.2,35.72,normal,3.2437,0.2019
S012_S053,S012,S053,14.029,29.06,4.93,28.65,35.55,37.79,normal,3.3552,0.1683
S053_S012,S053,S012,14.029,29.98,4.75,29.61,36.23,38.36,normal,3.388,0.1574
S012_S055,S012,S055,3.07,5.59,1.74,5.34,7.89,8.81,light,1.6748,0.3048
S055_S012,S055,S012,3.07,5.16,1.69,4.91,7.39,8.3,light,1.5909,0.319
S012_S056,S012,S056,17.611,43.69,13.54,41.73,61.53,68.68,normal,3.7312,0.3029
S056_S012,S056,S012,17.611,41.9,12.66,40.1,58.58,65.22,normal,3.6915,0.2956
S012_S057,S012,S057,4.354,13.99,3.67,13.54,18.83,20.68,heavy,2.6053,0.2576
S057_S012,S057,S012,4.354,13.39,3.6,12.93,18.14,19.97,heavy,2.5599,0.2639
S012_S058,S012,S058,15.442,36.07,10.03,34.75,49.3,54.44,normal,3.5481,0.2729
S058_S012,S058,S012,15.442,35.46,10.51,34.0,49.32,54.79,normal,3.5265,0.29
S012_S060,S012,S060,11.132,16.84,4.04,16.38,22.18,24.17,normal,2.7958,0.2366
